animal dom phen
R187557 R187557 10.69
R187559 R187559 11.207
R187568 R187568 12.167
R187518 R187518 11.592
R187528 R187528 11.359
R187945 R187945 8.656
Fem3 Fem3 11.293
R187030 R187030 9.136
R187517 R187517 9.74
R187523 R187523 10.106
R186902 R186902 10.199
R187400 R187400 10.414
R187932 R187932 9.487
R187582 R187582 8.459
R187545 R187545 8.021
R187546 R187546 11.328
R187590 R187590 11.566
R187548 R187548 12.057
R187594 R187594 8.528
R187588 R187588 12.641
R187531 R187531 12.306
R187592 R187592 13.458
R187575 R187575 9.8
R186912 R186912 10.424
R187914 R187914 12.6
R187955 R187955 9.241
R187535 R187535 9.584
K983388 K983388 11.792
Fem20 Fem20 6.993
R187086 R187086 11.114
R187539 R187539 10.078
R187566 R187566 12.008
R187569 R187569 9.402
R187537 R187537 9.273
R187916 R187916 7.642
R186903 R186903 10.355
R187512 R187512 8.502
R187562 R187562 11.876
R187563 R187563 11.868
R187571 R187571 7.694
R187958 R187958 11.295
R187953 R187953 9.594
R187547 R187547 7.85
R187947 R187947 10.013
R187239 R187239 11.18
R187521 R187521 11.843
R187931 R187931 8.441
R187577 R187577 9.687
R187292 R187292 12.222
R187516 R187516 10.837
R187166 R187166 8.268
R187579 R187579 4.788
R187155 R187155 8.9
R187963 R187963 10.514
Fem5 Fem5 12.27
R187930 R187930 10.523
R187598 R187598 5.755
R187957 R187957 10.155
R187552 R187552 9.225
R187527 R187527 8.124
R187595 R187595 11.453
P322402 P322402 8.567
R187515 R187515 14.374
R187553 R187553 10.954
R046109 R046109 7.884
R187920 R187920 8.467
R186907 R186907 9.715
R187541 R187541 9.344
R187927 R187927 12.47
R187942 R187942 9.334
R187937 R187937 7.241
R187824 R187824 10.98
R186908 R186908 5.368
R187944 R187944 13.545
R187964 R187964 13.196
R187940 R187940 12.88
R187524 R187524 10.059
R188000 R188000 12.704
R187999 R187999 8.022
R187961 R187961 8.358
R187399 R187399 7.108
R187513 R187513 12.333
R187918 R187918 7.841
R187925 R187925 10.271
R187936 R187936 11.874
Fem2 Fem2 6.535
R187343 R187343 7.115
R186911 R186911 10.194
R187902 R187902 13.314
R187948 R187948 9.168
R187000 R187000 8.739
R186918 R186918 10.668
R187637 R187637 6.389
R187398 R187398 9.667
R187001 R187001 10.505
R187009 R187009 10.704
R187926 R187926 8.208
R187951 R187951 11.834
R186910 R186910 9.321
R187941 R187941 13.319
R186917 R186917 7.022
R187540 R187540 10.392
R187573 R187573 10.479
R046108 R046108 10.185
R186901 R186901 7.921
R186909 R186909 13.616
R187556 R187556 8.676
R187558 R187558 9.635
R187567 R187567 7.07
P322412 P322412 8.724
R187532 R187532 8.628
R187935 R187935 9.225
Male24 Male24 9.909
R187574 R187574 10.887
R187395 R187395 9.431
R187522 R187522 6.69
Male80 Male80 8.408
R187397 R187397 10.966
R187933 R187933 11.51
R187584 R187584 9.018
R187543 R187543 8.955
R187544 R187544 9.8
Male29 Male29 7.126
Male47 Male47 6.071
R187593 R187593 10.524
R187583 R187583 13.583
R187530 R187530 8.986
R187576 R187576 8.159
R187572 R187572 11.311
R186913 R186913 12.655
R187915 R187915 9.229
R187919 R187919 7.941
R187534 R187534 8.9
R187597 R187597 11.624
R187600 R187600 7.138
R187551 R187551 7.305
N863616 N863616 10.877
R187538 R187538 10.692
Male13 Male13 7.692
P322413 P322413 10.88
R187917 R187917 13.113
Male111 Male111 10.526
Male100 Male100 11.053
R187564 R187564 8.477
R187565 R187565 12.436
R187098 R187098 14.428
R187959 R187959 8.766
R187952 R187952 9.456
R187549 R187549 12.554
R187946 R187946 12.8
R187591 R187591 7.776
R187520 R187520 9.071
R187929 R187929 9.521
Male57 Male57 10.27
R187578 R187578 11.111
R187519 R187519 8.975
R187581 R187581 11.439
R187580 R187580 9.654
R187585 R187585 10.696
Male46 Male46 8.453
Male28 Male28 9.827
UND1902 UND1902 8.287
R187599 R187599 10.857
R187956 R187956 10.637
R187550 R187550 9.998
R187536 R187536 10.71
R187924 R187924 11.589
R187511 R187511 8.56
R187529 R187529 8.802
R187554 R187554 12.744
Male40 Male40 9.478
R187921 R187921 10.698
R186914 R186914 6.601
R187542 R187542 8.303
R187928 R187928 10.991
Male26 Male26 9.917
R187938 R187938 9.114
R186906 R186906 8.81
R186904 R186904 7.931
Male49 Male49 6.621
R187965 R187965 7.962
R187934 R187934 10.593
R187526 R187526 13.01
Male69 Male69 5.955
R187998 R187998 11.302
R187960 R187960 9.269
R187589 R187589 9.725
Male106 Male106 10.359
Male105 Male105 8.891
R187913 R187913 13.584
R187943 R187943 5.626
Male10 Male10 9.297
R187570 R187570 8.209
Male103 Male103 13.367
R186915 R186915 6.743
R187950 R187950 10.397
R187962 R187962 13.053
Male31 Male31 9.045
R187954 R187954 11.318
R187396 R187396 12.291
R187533 R187533 10.709
R187514 R187514 8.78
R187923 R187923 13
R187949 R187949 12.299
Male4 Male4 13.997
R187939 R187939 6.426
R186916 R186916 11.396
R187525 R187525 11.762
Male81 Male81 5.673
R187394 R187394 9.31
Male78 Male78 8.889
Male16 Male16 10.405
R187142 R187142 11.396
R187154 R187154 8.442
R187341 R187341 7.978
R046169 R046169 8.8
R046161 R046161 7.556
R187409 R187409 6.488
R187507 R187507 12.105
R187028 R187028 9.001
R046128 R046128 10.466
R187061 R187061 11.358
R187839 R187839 6.756
R187249 R187249 11.405
R187489 R187489 10.119
R187284 R187284 8.936
R187255 R187255 8.704
R187267 R187267 10.533
R187669 R187669 10.655
R187300 R187300 8.256
R187481 R187481 8.188
R187165 R187165 13.161
R187139 R187139 8.203
R187151 R187151 10.697
R187041 R187041 10.057
R187127 R187127 9.561
R187121 R187121 9.474
R187898 R187898 12.992
R187444 R187444 12.704
R187434 R187434 9.37
R187096 R187096 8.635
R187321 R187321 11.546
R187307 R187307 11.922
R187078 R187078 7.504
R187391 R187391 9.081
R187373 R187373 8.294
R187347 R187347 12.555
R187337 R187337 8.804
R187365 R187365 12.405
R046167 R046167 7.679
R187496 R187496 9.896
R187803 R187803 9.837
R046147 R046147 7.402
R187383 R187383 10.206
R046158 R046158 12.685
R187355 R187355 8.903
R187226 R187226 10.54
R187408 R187408 8.297
R187506 R187506 11.194
R187027 R187027 10.79
R046126 R046126 10.728
R187060 R187060 9.28
R187838 R187838 9.397
R187796 R187796 10.363
R187697 R187697 11.642
R187488 R187488 9.892
R187238 R187238 8.463
R187688 R187688 9.709
R187283 R187283 11.839
R187254 R187254 10.365
R187266 R187266 8.444
R187273 R187273 10.142
R187670 R187670 7.409
R187046 R187046 9.102
R187865 R187865 11.886
R187290 R187290 9.926
R187201 R187201 11.442
R046186 R046186 8.932
R187191 R187191 10.245
R187174 R187174 12.664
R187299 R187299 8.776
R187180 R187180 11.545
R187480 R187480 8.301
R187162 R187162 10.638
R187137 R187137 8.846
R187150 R187150 13.049
R187039 R187039 8.941
R187893 R187893 10.336
R187126 R187126 9.483
R187115 R187115 8.569
R187641 R187641 10.564
R187471 R187471 8.405
R187458 R187458 7.685
R187441 R187441 9.794
R187636 R187636 10.443
R187432 R187432 9.214
R187104 R187104 11.051
R187091 R187091 11.932
R187020 R187020 13.044
R187327 R187327 9.112
R046200 R046200 10.999
R187320 R187320 10.78
R187306 R187306 6.514
R187076 R187076 8.182
R187388 R187388 7.545
R187371 R187371 12.182
R187349 R187349 9.793
R187334 R187334 12.655
R187362 R187362 10.347
R046165 R046165 10.941
R187494 R187494 12.537
R187066 R187066 13.124
R187798 R187798 10.219
R046145 R046145 10.869
R187380 R187380 11.451
R046155 R046155 10.326
R187353 R187353 14.114
R187224 R187224 9.161
R187416 R187416 11.845
R187407 R187407 9.251
R187505 R187505 10.829
R187025 R187025 10.415
R046125 R046125 10.412
R046193 R046193 12.283
R187726 R187726 12.449
R187854 R187854 11.598
R187215 R187215 6.919
R187057 R187057 9.416
R187721 R187721 7.938
R187709 R187709 11.14
R187715 R187715 11.907
R187828 R187828 7.28
R187822 R187822 7.361
R187837 R187837 10.3
R187795 R187795 10.181
R187703 R187703 6.97
R187245 R187245 13.373
R187696 R187696 12.27
R187487 R187487 7.74
R187237 R187237 8.261
R187686 R187686 11.655
R187280 R187280 6.817
R187787 R187787 8.93
R187253 R187253 8.004
R187264 R187264 9.739
R187272 R187272 11.314
R187680 R187680 11.578
R187668 R187668 7.868
R046175 R046175 11.088
R187044 R187044 10.244
R187864 R187864 7.912
R187289 R187289 8.364
R187783 R187783 8.128
R187200 R187200 12.125
R046185 R046185 9.043
R187774 R187774 10.174
R187190 R187190 6.012
R187298 R187298 9.439
R187764 R187764 5.422
R187179 R187179 10.83
R187206 R187206 10.48
R187479 R187479 6.898
R187163 R187163 11.169
R187135 R187135 12.689
R187147 R187147 11.14
R187038 R187038 12.4
R187891 R187891 13.412
R187125 R187125 9.077
R187116 R187116 9.036
R187648 R187648 7.278
R187896 R187896 11.497
R187470 R187470 7.549
R187111 R187111 10.969
R187457 R187457 9.686
R187450 R187450 7.942
R187635 R187635 11.216
R187430 R187430 11.872
R187101 R187101 6.049
R187089 R187089 8.475
R187017 R187017 6.893
R187326 R187326 9.268
R187422 R187422 13.826
R187614 R187614 9.688
R046199 R046199 11.43
R187319 R187319 12.12
R187305 R187305 8.478
R187738 R187738 8.056
R187074 R187074 9.617
R187387 R187387 7.256
R187367 R187367 10.153
R187348 R187348 9.612
R187333 R187333 9.969
R187363 R187363 10.047
R046164 R046164 12.59
R187493 R187493 9.695
R187064 R187064 13.536
R187800 R187800 9.903
R046142 R046142 8.589
R187607 R187607 12.616
R187378 R187378 10.215
R187809 R187809 11.752
R046153 R046153 10.979
R187352 R187352 12.443
R187222 R187222 13.488
R187414 R187414 9.065
R187405 R187405 9.141
R187503 R187503 8.599
R187021 R187021 12.868
R046124 R046124 10.68
R046192 R046192 9.373
R187724 R187724 9.833
R187857 R187857 13.838
R187214 R187214 7.817
R187055 R187055 9.045
R187708 R187708 6.785
R187714 R187714 7.588
R187826 R187826 9.646
R187821 R187821 8.77
R187835 R187835 11.238
R187792 R187792 9.706
R187699 R187699 9.303
R187845 R187845 11.715
R187243 R187243 11.572
R187694 R187694 6.623
R187486 R187486 9.515
R187234 R187234 6.614
R187684 R187684 11.395
R187279 R187279 9.273
R187786 R187786 8.729
R187252 R187252 11.361
R187263 R187263 10.452
R187270 R187270 11.244
R187676 R187676 10.098
R187666 R187666 9.794
R046174 R046174 7.652
R187043 R187043 11.807
R187863 R187863 9.356
R187286 R187286 8.127
R187778 R187778 10.976
R187199 R187199 12.057
R046184 R046184 7.917
R187771 R187771 9.375
R187189 R187189 7.438
R187171 R187171 8.927
R187297 R187297 8.9
R187763 R187763 12.092
R187176 R187176 13.033
R187202 R187202 9.365
R187478 R187478 5.22
R187883 R187883 10.02
R187158 R187158 11.898
R187136 R187136 11.034
R187146 R187146 13.92
R187036 R187036 12.637
R187890 R187890 9.489
R187124 R187124 11.124
R187112 R187112 7.762
R187642 R187642 9.647
R187895 R187895 10.519
R187465 R187465 7.719
R187110 R187110 10.798
R187749 R187749 8.978
R187447 R187447 9.007
R187438 R187438 11.141
R187634 R187634 13.85
R187426 R187426 9.816
R187100 R187100 11.527
R187088 R187088 6.872
R187016 R187016 9.342
R187324 R187324 9.46
R187420 R187420 15.144
R187611 R187611 8.377
R046197 R046197 9.935
R187996 R187996 10.966
R187743 R187743 8.303
R187317 R187317 10.806
R187303 R187303 9.814
R187736 R187736 11.008
R187071 R187071 8.212
R187385 R187385 12.157
R187366 R187366 9.419
R187344 R187344 13.829
R187332 R187332 7.532
R187359 R187359 8.7
R046163 R046163 9.019
R187491 R187491 10.344
R187062 R187062 11.803
R187799 R187799 8.957
R046143 R046143 6.58
R187605 R187605 7.212
R187376 R187376 12.71
R187807 R187807 8.084
R046152 R046152 9.02
R187351 R187351 12.767
R187218 R187218 10.055
R187411 R187411 11.898
R187403 R187403 8.541
R187393 R187393 11.163
R187502 R187502 7.15
R187023 R187023 10.712
R046122 R046122 10.781
R046191 R046191 9.093
R187723 R187723 11.17
R187210 R187210 8.57
R187053 R187053 9.779
R187717 R187717 11.606
R187707 R187707 10.301
R187711 R187711 12.704
R187825 R187825 8.258
R187819 R187819 8.155
R187833 R187833 11.18
R187791 R187791 11.628
R187698 R187698 11.982
R187843 R187843 13.249
R187240 R187240 13.926
R187692 R187692 12.381
R187483 R187483 10.019
R187229 R187229 7.54
R187683 R187683 10.753
R187277 R187277 7.968
R187785 R187785 9.312
R187251 R187251 7.668
R187261 R187261 12.527
R187269 R187269 7.807
R187674 R187674 10.88
R187661 R187661 7.22
R046172 R046172 9.273
R187042 R187042 7.033
R187862 R187862 11.019
R187285 R187285 11.439
R187775 R187775 7.958
R187198 R187198 9.506
R046181 R046181 7.321
R187767 R187767 11.317
R187186 R187186 5.9
R187167 R187167 10.094
R187294 R187294 8.044
R187760 R187760 9.91
R187178 R187178 9.402
R187476 R187476 8.083
R187881 R187881 9.424
R187157 R187157 11.694
R187132 R187132 9.912
R187145 R187145 11.025
R187033 R187033 14.878
R187889 R187889 11.501
R187123 R187123 10.815
R187113 R187113 8.983
R187639 R187639 7.7
R187894 R187894 13.38
R187462 R187462 10.995
R187108 R187108 9.865
R187750 R187750 13.985
R187452 R187452 10.92
R187445 R187445 11.525
R187435 R187435 9.419
R187632 R187632 13.096
R187425 R187425 8.49
R187099 R187099 10.101
R187087 R187087 8.25
R187012 R187012 10.882
R187322 R187322 9.36
R187419 R187419 12.965
R187010 R187010 8.591
R187995 R187995 7.313
R187741 R187741 7.566
R187315 R187315 11.363
R187301 R187301 9.987
R187070 R187070 10.373
R187008 R187008 11.157
R187627 R187627 9.263
R187631 R187631 12.769
R187629 R187629 14.203
R187628 R187628 13.85
R187626 R187626 8.104
R187625 R187625 12.394
R187660 R187660 10.424
R187624 R187624 12.114
R187659 R187659 11.692
R187623 R187623 13.299
R046117 R046117 7.744
R187216 R187216 10.292
R187682 R187682 10.259
R187658 R187658 11.444
R187622 R187622 9.687
R187336 R187336 9.919
R187816 R187816 12.693
R187601 R187601 7.681
R046156 R046156 11.344
R046116 R046116 9.43
R187217 R187217 9.426
R187236 R187236 6.599
R187681 R187681 11.408
R187657 R187657 11.41
R187469 R187469 11.016
R187621 R187621 13.281
R187561 R187561 9.778
R187342 R187342 9.826
R187815 R187815 11.002
R187500 R187500 9.935
R046154 R046154 8.896
R187227 R187227 7.981
R046115 R046115 9.841
R046119 R046119 11.946
R187731 R187731 6.922
R187213 R187213 10.75
R187235 R187235 9.311
R187679 R187679 8.727
R187665 R187665 7.884
R046178 R046178 7.52
R187779 R187779 8.495
R187773 R187773 10.269
R187587 R187587 5.619
R187586 R187586 10.616
R187656 R187656 12.479
R187143 R187143 7.942
R187040 R187040 12.018
R187122 R187122 10.609
R187644 R187644 8.039
R187468 R187468 10.008
R187757 R187757 8.57
R187433 R187433 9.917
R187620 R187620 12.063
R187090 R187090 8.366
R187596 R187596 8.079
R187997 R187997 7.418
R187318 R187318 9.817
R187007 R187007 10.684
R187392 R187392 9.281
R187374 R187374 9.664
R187340 R187340 10.232
R187364 R187364 14.869
R187814 R187814 9.404
R187499 R187499 10.43
R187069 R187069 7.65
R046149 R046149 10.717
R187606 R187606 11.137
R187382 R187382 10.813
R046160 R046160 8.318
R187225 R187225 8.416
R187418 R187418 12.431
R187410 R187410 9.491
R046114 R046114 12.537
R187555 R187555 14.54
R046129 R046129 12.778
R187729 R187729 9.144
R187832 R187832 7.817
R187842 R187842 11.105
R187852 R187852 11.019
R187248 R187248 12.172
R187233 R187233 7.912
R187268 R187268 8.563
R187052 R187052 10.744
R187671 R187671 7.661
R046177 R046177 8.548
R187782 R187782 10.738
R046187 R046187 9.069
R187768 R187768 9.35
R187194 R187194 12.82
R187175 R187175 9.351
R187873 R187873 12.132
R187184 R187184 8.135
R187477 R187477 9.178
R187655 R187655 8.709
R187164 R187164 13.207
R187141 R187141 11.831
R187153 R187153 11.816
R187037 R187037 9.2
R187888 R187888 13.167
R187120 R187120 11.755
R187646 R187646 8.295
R187467 R187467 9.645
R187756 R187756 8.353
R187460 R187460 12.038
R187443 R187443 5.732
R187431 R187431 9.992
R187619 R187619 12.499
R187097 R187097 11.905
R187019 R187019 11.838
R187330 R187330 11.996
R187994 R187994 4.377
R187316 R187316 8.146
R187310 R187310 15.162
R187072 R187072 7.797
R187006 R187006 13.433
R187390 R187390 7.898
R187372 R187372 5.145
R187912 R187912 10.315
R187339 R187339 6.819
R187361 R187361 10.984
R187813 R187813 8.999
R187498 R187498 8.901
R187068 R187068 9.145
R046148 R046148 11.768
R187608 R187608 9.635
R187381 R187381 8.064
R046159 R046159 10.818
R187223 R187223 9.458
R187406 R187406 6.877
R046113 R046113 11.243
R187510 R187510 10.211
R187029 R187029 14.711
R046127 R046127 9.305
R187730 R187730 11.059
R187211 R187211 9.308
R187059 R187059 10.329
R187831 R187831 5.491
R187823 R187823 9.918
R187841 R187841 11.21
R187704 R187704 6.897
R187851 R187851 7.549
R187247 R187247 11.823
R187695 R187695 6.288
R187970 R187970 10.324
R187490 R187490 9.743
R187232 R187232 12.336
R187282 R187282 9.121
R187258 R187258 11.058
R187265 R187265 7.361
R187051 R187051 12.498
R187677 R187677 7.995
R187667 R187667 9.94
R046176 R046176 6.788
R187781 R187781 9.58
R046183 R046183 9.715
R187772 R187772 10.799
R187192 R187192 6.498
R187173 R187173 11.176
R187872 R187872 10.583
R187501 R187501 10.679
R187765 R187765 10.108
R187183 R187183 10.86
R187475 R187475 5.008
R187654 R187654 14.132
R187161 R187161 9.184
R187140 R187140 8.674
R187152 R187152 11.444
R187035 R187035 7.435
R187892 R187892 10.036
R187131 R187131 7.045
R187118 R187118 9.087
R187645 R187645 8.218
R187466 R187466 8.342
R187109 R187109 10.595
R187459 R187459 10.44
R187451 R187451 13.133
R187442 R187442 10.877
R187429 R187429 10.626
R187618 R187618 12.702
R187095 R187095 10.918
R187018 R187018 11.861
R187329 R187329 9.788
R187993 R187993 5.451
R187744 R187744 10.058
R187314 R187314 5.387
R187309 R187309 6.649
R187733 R187733 10.873
R187079 R187079 11.038
R187908 R187908 9.065
R187005 R187005 10.532
R187389 R187389 8.693
R187370 R187370 9.531
R187911 R187911 8.145
R187338 R187338 11.498
R187360 R187360 12.93
R187812 R187812 12.202
R046168 R046168 11.295
R187497 R187497 7.847
R187067 R187067 11.235
R187805 R187805 9.941
R046146 R046146 10.879
R187604 R187604 13.948
R187379 R187379 12.966
R046157 R046157 10.029
R187356 R187356 9.599
R187221 R187221 9.5
R187415 R187415 12.49
R187404 R187404 8.023
R046112 R046112 7.679
R187509 R187509 10.49
R187022 R187022 12.138
R046190 R046190 10.031
R187727 R187727 8.405
R187209 R187209 11.161
R187058 R187058 11.524
R187722 R187722 7.774
R187830 R187830 8.702
R187820 R187820 12.091
R187797 R187797 10.65
R187702 R187702 11.822
R187850 R187850 10.803
R187244 R187244 8.58
R187693 R187693 8.94
R187485 R187485 10.068
R187231 R187231 7.824
R187689 R187689 11.053
R187281 R187281 7.206
R187790 R187790 11.055
R187257 R187257 7.498
R187262 R187262 6.872
R187275 R187275 9.517
R187050 R187050 11.542
R187675 R187675 12.973
R187664 R187664 8.406
R046173 R046173 8.873
R187560 R187560 11.608
R187780 R187780 12.22
R187197 R187197 8.904
R046182 R046182 13.752
R187770 R187770 10.812
R187193 R187193 10.348
R187170 R187170 9.71
R187296 R187296 9.382
R187762 R187762 12.202
R187182 R187182 13.703
R187474 R187474 10.961
R187884 R187884 9.924
R187653 R187653 10.2
R187159 R187159 7.214
R187138 R187138 7.823
R187149 R187149 11.164
R187034 R187034 9.275
R187887 R187887 9.823
R187130 R187130 10.202
R187119 R187119 11.038
R187643 R187643 11.548
R187901 R187901 14.891
R187464 R187464 11.27
R187107 R187107 9.117
R187751 R187751 8.366
R187455 R187455 11.976
R187449 R187449 10.142
R187439 R187439 10.441
R187428 R187428 10.991
R187093 R187093 12.819
R187015 R187015 12.138
R187328 R187328 9.742
R187613 R187613 11.538
R046198 R046198 8.959
R187992 R187992 9.868
R187742 R187742 11.121
R187313 R187313 10.056
R187308 R187308 12.39
R187077 R187077 12.723
R187907 R187907 9.076
R187004 R187004 14.336
R187386 R187386 9.486
R187369 R187369 13.187
R187346 R187346 5.951
R187335 R187335 9.269
R187358 R187358 12.15
R187811 R187811 10.301
R046166 R046166 9.494
R187495 R187495 10.953
R187065 R187065 8.49
R187802 R187802 9.742
R046144 R046144 9.868
R187603 R187603 11.124
R187377 R187377 8.542
R046151 R046151 9.699
R187354 R187354 11.601
R187219 R187219 9.725
R187413 R187413 9.904
R187402 R187402 7.376
R046111 R046111 8.548
R187508 R187508 10.585
R187026 R187026 14.644
R046121 R046121 9.229
R046189 R046189 9.471
R187728 R187728 10.426
R187207 R187207 11.441
R187056 R187056 7.346
R187720 R187720 9.865
R187705 R187705 11.44
R187829 R187829 5.104
R187818 R187818 8.029
R187836 R187836 9.1
R187793 R187793 9.193
R187701 R187701 9.204
R187848 R187848 10.859
R187242 R187242 6.956
R187690 R187690 9.695
R187484 R187484 10.224
R187230 R187230 7.219
R187687 R187687 10.282
R187278 R187278 10.727
R187256 R187256 8.291
R187260 R187260 7.37
R187274 R187274 7.894
R187049 R187049 11.615
R187673 R187673 10.086
R187663 R187663 10.502
R046171 R046171 8.283
R187047 R187047 8.139
R187866 R187866 6.671
R187288 R187288 8.129
R187777 R187777 10.816
R187196 R187196 7.496
R046180 R046180 11.801
R187769 R187769 11.508
R187188 R187188 9.023
R187169 R187169 6.739
R187295 R187295 10.185
R187761 R187761 8.87
R187181 R187181 14.105
R187205 R187205 8.213
R187473 R187473 6.716
R187882 R187882 9.396
R187652 R187652 11.575
R187134 R187134 9.52
R187148 R187148 12.486
R187032 R187032 9.77
R187886 R187886 12.171
R187129 R187129 9.939
R187117 R187117 9.244
R187640 R187640 9.586
R187900 R187900 14.348
R187463 R187463 9.818
R187106 R187106 8.361
R187752 R187752 11.152
R187746 R187746 8.687
R187454 R187454 9.698
R187448 R187448 10.653
R187437 R187437 8.463
R187427 R187427 9.294
R187103 R187103 10.171
R187616 R187616 13.764
R187094 R187094 6.339
R187013 R187013 12.907
R187325 R187325 11.264
R187423 R187423 11.226
R187612 R187612 12.193
R046195 R046195 9.906
R187991 R187991 7.177
R187740 R187740 8.475
R187312 R187312 8.508
R187304 R187304 8.424
R187735 R187735 12.533
R187075 R187075 7.267
R187906 R187906 7.684
R187003 R187003 11.033
R187384 R187384 9.157
R187368 R187368 11.542
R187345 R187345 8.95
R187331 R187331 10.002
R187357 R187357 12.544
R187810 R187810 10.068
R046162 R046162 10.702
R187492 R187492 8.729
