animal sire dam
1 NA NA
2 NA NA
3 NA NA
4 NA NA
5 NA NA
6 NA NA
7 NA NA
8 NA NA
9 NA NA
10 NA NA
11 NA NA
12 NA NA
13 NA NA
14 NA NA
15 NA NA
16 NA NA
17 NA NA
18 NA NA
19 NA NA
20 NA NA
21 NA NA
22 NA NA
23 NA NA
24 NA NA
25 NA NA
26 NA NA
27 NA NA
28 NA NA
29 NA NA
30 NA NA
31 NA NA
32 NA NA
33 NA NA
34 NA NA
35 NA NA
36 NA NA
37 NA NA
38 NA NA
39 NA NA
40 NA NA
41 NA NA
42 NA NA
43 NA NA
44 NA NA
45 NA NA
46 NA NA
47 NA NA
48 NA NA
49 NA NA
50 NA NA
51 NA NA
52 NA NA
53 NA NA
54 NA NA
55 NA NA
56 NA NA
57 NA NA
58 NA NA
59 NA NA
60 NA NA
61 NA NA
62 NA NA
63 NA NA
64 NA NA
65 NA NA
66 NA NA
67 NA NA
68 NA NA
69 NA NA
70 NA NA
71 NA NA
72 NA NA
73 NA NA
74 NA NA
75 NA NA
76 NA NA
77 NA NA
78 NA NA
79 NA NA
80 NA NA
81 NA NA
82 NA NA
83 NA NA
84 NA NA
85 NA NA
86 NA NA
87 NA NA
88 NA NA
89 NA NA
90 NA NA
91 NA NA
92 NA NA
93 NA NA
94 NA NA
95 NA NA
96 NA NA
97 NA NA
98 NA NA
99 NA NA
100 NA NA
101 NA NA
102 NA NA
103 NA NA
104 NA NA
105 NA NA
106 NA NA
107 NA NA
108 NA NA
109 NA NA
110 NA NA
111 NA NA
112 NA NA
113 NA NA
114 NA NA
115 NA NA
116 NA NA
117 NA NA
118 NA NA
119 NA NA
120 NA NA
121 NA NA
122 NA NA
123 NA NA
124 NA NA
125 NA NA
126 66 102
127 42 73
128 47 107
129 50 69
130 78 116
131 36 115
132 78 116
133 49 71
134 47 107
135 75 77
136 59 121
137 4 77
138 43 93
139 44 80
140 42 72
141 38 55
142 38 55
143 1 79
144 27 82
145 49 76
146 3 34
147 42 72
148 70 82
149 57 87
150 61 85
151 2 112
152 64 100
153 23 33
154 66 91
155 3 22
156 37 63
157 12 114
158 23 56
159 36 41
160 3 34
161 61 65
162 24 93
163 50 122
164 1 105
165 31 91
166 11 86
167 59 121
168 28 74
169 61 83
170 11 15
171 3 34
172 18 115
173 19 56
174 57 106
175 12 114
176 1 93
177 18 41
178 19 56
179 36 110
180 16 119
181 28 74
182 52 101
183 1 93
184 30 79
185 32 119
186 19 56
187 42 74
188 6 125
189 44 80
190 23 113
191 50 122
192 47 55
193 12 88
194 75 92
195 75 77
196 59 80
197 51 98
198 36 115
199 2 79
200 12 114
201 66 109
202 7 91
203 32 119
204 37 63
205 50 68
206 75 77
207 17 65
208 21 114
209 117 118
210 42 73
211 64 100
212 5 94
213 26 123
214 12 88
215 78 116
216 75 77
217 26 123
218 17 120
219 23 113
220 28 73
221 36 41
222 4 92
223 43 105
224 26 123
225 28 74
226 19 113
227 53 67
228 6 89
229 21 114
230 4 92
231 37 63
232 4 77
233 39 65
234 19 56
235 58 97
236 30 93
237 37 63
238 31 102
239 49 71
240 18 41
241 61 83
242 90 123
243 46 80
244 117 118
245 78 106
246 53 71
247 49 76
248 13 108
249 12 88
250 36 41
251 209 238
252 185 226
253 166 202
254 160 207
255 182 188
256 185 219
257 200 249
258 213 242
259 195 216
260 138 232
261 157 249
262 159 172
263 134 203
264 163 214
265 182 188
266 131 192
267 128 237
268 137 145
269 141 237
270 173 197
271 213 242
272 196 202
273 163 229
274 142 174
275 194 227
276 170 227
277 194 239
278 157 229
279 164 245
280 135 211
281 157 249
282 147 177
283 181 183
284 150 161
285 181 247
286 200 249
287 195 230
288 213 217
289 234 235
290 159 224
291 196 202
292 137 190
293 164 247
294 133 243
295 166 202
296 148 216
297 137 145
298 193 231
299 162 212
300 159 172
301 129 187
302 196 202
303 146 205
304 138 232
305 169 236
306 194 239
307 157 249
308 141 237
309 139 167
310 168 176
311 144 221
312 154 207
313 144 176
314 173 197
315 148 230
316 160 241
317 175 189
318 137 190
319 185 206
320 148 230
321 147 240
322 154 207
323 153 197
324 163 249
325 127 247
326 139 167
327 209 238
328 165 219
329 193 204
330 164 220
331 129 187
332 182 228
333 130 174
334 213 242
335 146 205
336 155 171
337 180 226
338 147 240
339 131 172
340 148 216
341 159 172
342 168 221
343 150 241
344 153 178
345 163 214
346 175 189
347 143 210
348 132 233
349 128 237
350 180 219
351 142 174
352 162 201
353 180 206
354 150 184
355 126 218
356 147 240
357 164 183
358 180 226
359 129 187
360 155 205
361 142 174
362 148 222
363 213 242
364 158 191
365 153 178
366 129 187
367 165 226
368 132 233
369 182 228
370 126 248
371 147 177
372 195 216
373 181 247
374 194 243
375 142 174
376 278 281
377 275 277
378 295 373
379 332 346
380 287 315
381 296 340
382 270 313
383 339 363
384 316 320
385 267 349
386 257 360
387 294 362
388 276 277
389 298 329
390 258 317
391 274 324
392 255 346
393 316 327
394 278 324
395 262 323
396 339 363
397 295 355
398 276 306
399 268 321
400 252 299
401 261 321
402 267 308
403 261 292
404 286 322
405 333 348
406 312 342
407 319 350
408 310 338
409 273 341
410 312 342
411 303 336
412 259 305
413 312 342
414 309 375
415 331 366
416 260 266
417 301 364
418 285 325
419 282 338
420 253 373
421 271 334
422 279 330
423 268 297
424 309 361
425 309 361
426 312 342
427 255 346
428 339 341
429 328 353
430 333 351
431 258 264
432 271 288
433 301 359
434 296 305
435 280 348
436 332 345
437 256 299
438 303 360
439 276 290
440 303 336
441 263 357
442 283 330
443 331 366
444 253 358
445 278 307
446 276 277
447 258 264
448 267 304
449 278 307
450 261 321
451 269 349
452 255 365
453 259 362
454 257 335
455 262 344
456 268 292
457 328 353
458 289 292
459 286 343
460 310 338
461 314 374
462 312 342
463 257 335
464 284 322
465 255 346
466 258 264
467 260 367
468 257 360
469 255 345
470 287 315
471 314 344
472 332 369
473 259 305
474 276 277
475 314 323
476 294 340
477 262 344
478 339 341
479 268 297
480 270 356
481 291 370
482 331 364
483 254 361
484 269 349
485 268 297
486 271 334
487 273 363
488 275 306
489 300 371
490 269 308
491 300 326
492 265 365
493 333 375
494 270 356
495 267 308
496 303 360
497 296 362
498 301 359
499 269 308
500 268 318
501 423 485
502 384 438
503 404 459
504 403 485
505 380 456
506 378 427
507 435 493
508 418 442
509 396 428
510 378 465
511 435 493
512 393 407
513 381 488
514 391 472
515 408 483
516 381 498
517 378 392
518 383 428
519 410 426
520 445 446
521 389 485
522 445 449
523 395 475
524 400 499
525 388 488
526 381 398
527 382 415
528 384 438
529 435 448
530 432 486
531 377 434
532 380 450
533 400 499
534 416 429
535 393 492
536 376 413
537 421 460
538 471 475
539 418 437
540 431 484
541 402 493
542 402 470
543 388 398
544 416 467
545 412 494
546 381 498
547 439 500
548 406 462
549 401 446
550 388 498
551 397 495
552 425 452
553 433 500
554 418 442
555 445 449
556 416 429
557 412 475
558 385 493
559 377 478
560 421 455
561 403 485
562 395 475
563 420 469
564 393 492
565 420 469
566 433 455
567 445 480
568 435 470
569 384 496
570 432 491
571 431 484
572 420 469
573 382 415
574 387 499
575 411 455
576 387 497
577 400 476
578 388 398
579 378 392
580 397 469
581 422 452
582 445 446
583 388 398
584 405 459
585 404 459
586 395 475
587 410 451
588 412 475
589 396 428
590 383 409
591 423 485
592 376 462
593 433 489
594 440 454
595 423 479
596 393 492
597 405 459
598 387 499
599 421 500
600 411 455
601 440 468
602 406 462
603 391 394
604 410 462
605 440 454
606 380 450
607 381 498
608 439 460
609 410 462
610 433 500
611 440 454
612 423 490
613 425 478
614 414 430
615 382 415
616 384 496
617 471 477
618 386 468
619 411 455
620 433 500
621 420 495
622 425 434
623 390 466
624 379 427
625 379 392
626 527 592
627 589 612
628 567 570
629 517 579
630 505 593
631 575 610
632 527 582
633 551 563
634 509 557
635 545 588
636 545 586
637 523 586
638 589 612
639 520 535
640 574 605
641 573 591
642 573 591
643 545 569
644 528 584
645 562 580
646 589 612
647 555 592
648 548 604
649 501 521
650 538 615
651 512 606
652 511 561
653 526 578
654 510 624
655 531 613
656 526 546
657 542 588
658 538 616
659 575 594
660 534 587
661 502 581
662 519 604
663 526 607
664 548 583
665 518 565
666 516 554
667 531 613
668 599 608
669 507 563
670 517 579
671 502 559
672 589 612
673 550 571
674 502 559
675 547 613
676 534 583
677 589 612
678 519 583
679 576 577
680 502 559
681 574 605
682 562 580
683 551 568
684 501 566
685 576 620
686 513 600
687 501 566
688 515 614
689 534 609
690 503 591
691 567 570
692 506 625
693 516 539
694 520 535
695 536 609
696 540 552
697 503 617
698 573 617
699 516 539
700 574 611
701 555 616
702 516 554
703 512 606
704 574 611
705 514 544
706 515 614
707 508 590
708 527 616
709 531 559
710 589 612
711 536 558
712 516 554
713 519 604
714 529 561
715 528 584
716 537 619
717 538 616
718 503 617
719 574 605
720 519 558
721 515 560
722 574 605
723 537 593
724 506 579
725 526 600
726 501 566
727 505 594
728 537 593
729 504 571
730 514 556
731 522 570
732 503 617
733 543 546
734 514 556
735 573 591
736 502 581
737 548 587
738 562 572
739 529 621
740 530 603
741 538 616
742 548 583
743 542 586
744 505 594
745 599 608
746 524 620
747 575 594
748 501 521
749 532 622
750 523 569
751 679 685
752 682 736
753 650 680
754 664 706
755 637 716
756 672 698
757 660 732
758 654 692
759 679 685
760 626 712
761 649 725
762 636 707
763 646 725
764 668 726
765 642 697
766 688 711
767 652 739
768 652 747
769 655 686
770 661 686
771 636 707
772 655 686
773 638 726
774 655 675
775 682 738
776 638 687
777 641 697
778 699 730
779 668 748
780 629 715
781 649 725
782 704 722
783 631 693
784 644 703
785 626 743
786 740 745
787 683 723
788 643 716
789 626 712
790 662 718
791 683 744
792 632 680
793 664 691
794 678 728
795 641 735
796 667 675
797 679 685
798 626 743
799 681 709
800 690 737
801 637 716
802 635 673
803 643 716
804 633 694
805 660 732
806 626 743
807 659 728
808 665 702
809 704 705
810 644 724
811 677 710
812 643 750
813 696 743
814 651 721
815 704 705
816 660 737
817 642 737
818 650 708
819 667 671
820 636 707
821 647 734
822 664 706
823 655 669
824 659 727
825 657 716
826 682 736
827 626 712
828 655 674
829 649 725
830 660 697
831 683 744
832 661 675
833 690 735
834 633 694
835 659 744
836 660 737
837 672 717
838 627 669
839 649 689
840 637 716
841 633 694
842 633 694
843 641 732
844 645 738
845 639 648
846 665 673
847 635 673
848 704 722
849 667 669
850 682 736
851 688 711
852 683 744
853 681 692
854 688 721
855 626 712
856 632 708
857 667 671
858 740 745
859 662 742
860 644 724
861 695 720
862 659 727
863 679 746
864 650 680
865 683 728
866 627 675
867 639 648
868 670 726
869 627 671
870 683 727
871 626 743
872 677 698
873 704 705
874 665 673
875 632 701
876 837 871
877 818 875
878 767 867
879 801 846
880 772 859
881 766 866
882 814 867
883 760 829
884 776 863
885 804 867
886 765 830
887 753 866
888 776 841
889 751 812
890 795 830
891 763 811
892 795 836
893 816 831
894 794 852
895 757 868
896 790 839
897 759 828
898 770 862
899 808 857
900 809 873
901 763 811
902 772 848
903 819 866
904 789 806
905 774 799
906 854 856
907 775 844
908 823 827
909 775 826
910 769 829
911 751 825
912 801 874
913 819 869
914 757 868
915 773 828
916 794 824
917 754 821
918 763 811
919 785 855
920 816 817
921 787 826
922 803 812
923 765 830
924 819 838
925 778 834
926 854 875
927 770 840
928 800 842
929 774 799
930 775 826
931 789 806
932 759 828
933 761 839
934 798 858
935 804 867
936 804 845
937 787 844
938 816 831
939 757 868
940 772 848
941 804 845
942 816 830
943 773 828
944 787 850
945 778 834
946 809 815
947 796 824
948 752 797
949 800 843
950 816 831
951 808 857
952 800 817
953 782 807
954 854 856
955 777 853
956 789 855
957 800 843
958 816 843
959 757 799
960 766 827
961 767 845
962 804 845
963 772 859
964 761 839
965 788 860
966 766 869
967 790 851
968 770 825
969 803 812
970 762 839
971 798 810
972 760 781
973 823 849
974 788 860
975 819 866
976 778 834
977 783 841
978 803 825
979 753 827
980 800 842
981 764 827
982 798 810
983 818 875
984 823 832
985 809 815
986 768 833
987 783 841
988 759 835
989 816 842
990 759 828
991 763 811
992 775 850
993 854 875
994 794 824
995 814 867
996 787 844
997 816 831
998 794 852
999 837 871
1000 767 845
