animal sire dam
1 NA NA
2 NA NA
3 NA NA
4 NA NA
5 NA NA
6 NA NA
7 NA NA
8 NA NA
9 NA NA
10 NA NA
11 NA NA
12 NA NA
13 NA NA
14 NA NA
15 NA NA
16 NA NA
17 NA NA
18 NA NA
19 NA NA
20 NA NA
21 NA NA
22 NA NA
23 NA NA
24 NA NA
25 NA NA
26 NA NA
27 NA NA
28 NA NA
29 NA NA
30 NA NA
31 NA NA
32 NA NA
33 NA NA
34 NA NA
35 NA NA
36 NA NA
37 NA NA
38 NA NA
39 NA NA
40 NA NA
41 NA NA
42 NA NA
43 NA NA
44 NA NA
45 NA NA
46 NA NA
47 NA NA
48 NA NA
49 NA NA
50 NA NA
51 NA NA
52 NA NA
53 NA NA
54 NA NA
55 NA NA
56 NA NA
57 NA NA
58 NA NA
59 NA NA
60 NA NA
61 NA NA
62 NA NA
63 NA NA
64 NA NA
65 NA NA
66 NA NA
67 NA NA
68 NA NA
69 NA NA
70 NA NA
71 NA NA
72 NA NA
73 NA NA
74 NA NA
75 NA NA
76 NA NA
77 NA NA
78 NA NA
79 NA NA
80 NA NA
81 NA NA
82 NA NA
83 NA NA
84 NA NA
85 NA NA
86 NA NA
87 NA NA
88 NA NA
89 NA NA
90 NA NA
91 NA NA
92 NA NA
93 NA NA
94 NA NA
95 NA NA
96 NA NA
97 NA NA
98 NA NA
99 NA NA
100 NA NA
101 NA NA
102 NA NA
103 NA NA
104 NA NA
105 NA NA
106 NA NA
107 NA NA
108 NA NA
109 NA NA
110 NA NA
111 NA NA
112 NA NA
113 NA NA
114 NA NA
115 NA NA
116 NA NA
117 NA NA
118 NA NA
119 NA NA
120 NA NA
121 NA NA
122 NA NA
123 NA NA
124 NA NA
125 NA NA
126 21 114
127 44 113
128 15 89
129 43 57
130 48 97
131 92 100
132 61 74
133 15 89
134 107 117
135 13 124
136 31 38
137 12 90
138 8 49
139 12 90
140 92 100
141 4 63
142 73 108
143 20 34
144 73 108
145 48 97
146 4 63
147 67 106
148 9 85
149 39 97
150 31 38
151 41 96
152 21 114
153 11 124
154 37 121
155 1 63
156 5 38
157 17 98
158 60 120
159 33 110
160 25 81
161 9 85
162 11 124
163 30 112
164 22 36
165 39 97
166 70 93
167 45 123
168 12 106
169 9 85
170 33 36
171 6 89
172 61 105
173 41 88
174 37 121
175 41 88
176 7 101
177 7 101
178 23 111
179 7 101
180 23 34
181 30 122
182 43 57
183 45 123
184 23 34
185 9 52
186 27 84
187 21 114
188 3 40
189 95 115
190 61 120
191 6 116
192 65 120
193 1 101
194 35 91
195 11 124
196 35 103
197 9 52
198 21 125
199 20 34
200 11 79
201 95 115
202 56 117
203 56 117
204 32 75
205 15 89
206 7 94
207 54 88
208 67 90
209 3 84
210 21 114
211 50 118
212 31 38
213 17 98
214 12 106
215 23 47
216 24 84
217 3 40
218 50 97
219 41 88
220 32 69
221 24 40
222 37 121
223 19 51
224 5 59
225 11 124
226 61 87
227 50 97
228 54 96
229 37 121
230 61 87
231 39 118
232 12 106
233 39 53
234 28 38
235 21 114
236 18 71
237 65 105
238 42 98
239 32 69
240 77 109
241 61 105
242 66 102
243 14 82
244 50 64
245 26 83
246 41 96
247 48 118
248 77 78
249 73 108
250 70 93
251 127 187
252 147 174
253 158 234
254 152 187
255 212 244
256 139 196
257 126 186
258 190 237
259 131 132
260 145 233
261 168 248
262 136 250
263 168 248
264 156 192
265 139 196
266 150 159
267 143 184
268 147 174
269 128 228
270 173 234
271 209 244
272 154 224
273 180 217
274 170 226
275 143 240
276 170 226
277 150 162
278 136 220
279 171 242
280 170 177
281 128 210
282 135 195
283 134 174
284 181 216
285 127 235
286 202 233
287 180 217
288 185 192
289 160 206
290 208 218
291 165 233
292 127 187
293 173 239
294 181 205
295 212 243
296 190 241
297 202 231
298 129 159
299 131 132
300 139 196
301 202 247
302 171 242
303 141 204
304 140 207
305 131 183
306 164 226
307 158 250
308 134 174
309 170 226
310 153 222
311 156 241
312 154 166
313 143 199
314 202 231
315 171 242
316 168 248
317 150 159
318 136 234
319 173 250
320 129 159
321 188 213
322 141 204
323 136 250
324 181 194
325 141 204
326 143 186
327 138 157
328 126 240
329 188 189
330 147 203
331 219 230
332 150 159
333 134 174
334 141 204
335 164 177
336 140 207
337 126 240
338 175 229
339 182 214
340 126 186
341 171 242
342 151 225
343 153 195
344 139 200
345 136 250
346 180 201
347 126 240
348 219 236
349 168 221
350 145 233
351 209 215
352 181 205
353 154 224
354 165 231
355 126 240
356 173 250
357 138 157
358 131 132
359 152 235
360 126 184
361 158 220
362 146 206
363 138 144
364 152 235
365 180 217
366 129 159
367 140 246
368 212 243
369 185 241
370 171 242
371 134 203
372 126 184
373 145 247
374 155 205
375 141 204
376 251 350
377 252 327
378 313 340
379 285 357
380 278 300
381 307 321
382 259 338
383 275 360
384 292 295
385 284 374
386 282 339
387 329 359
388 298 362
389 266 336
390 312 325
391 322 334
392 273 346
393 269 345
394 280 335
395 274 361
396 264 288
397 281 314
398 312 323
399 273 365
400 266 352
401 269 364
402 267 340
403 278 318
404 257 317
405 266 336
406 264 369
407 322 325
408 319 325
409 256 291
410 275 360
411 311 347
412 289 349
413 307 362
414 261 321
415 313 326
416 298 349
417 280 335
418 272 291
419 261 362
420 322 325
421 280 335
422 274 331
423 266 356
424 273 346
425 259 338
426 255 296
427 313 360
428 313 326
429 264 369
430 275 326
431 311 340
432 280 335
433 267 337
434 305 358
435 261 316
436 305 363
437 283 286
438 312 325
439 251 350
440 273 365
441 319 325
442 270 328
443 299 358
444 322 334
445 278 300
446 268 371
447 293 330
448 329 331
449 313 347
450 319 323
451 256 344
452 282 339
453 277 320
454 277 320
455 251 350
456 312 325
457 281 314
458 269 345
459 287 348
460 263 336
461 254 361
462 285 327
463 267 337
464 278 318
465 293 330
466 265 344
467 299 363
468 267 360
469 289 362
470 329 361
471 272 304
472 282 310
473 283 357
474 252 327
475 293 303
476 276 355
477 322 351
478 271 338
479 260 350
480 289 321
481 293 303
482 274 361
483 279 315
484 278 318
485 264 288
486 293 303
487 312 334
488 256 291
489 254 331
490 302 341
491 258 367
492 278 300
493 289 349
494 299 358
495 294 374
496 279 315
497 293 328
498 256 344
499 260 350
500 267 360
501 402 460
502 386 429
503 457 471
504 412 438
505 412 456
506 389 460
507 403 478
508 389 423
509 413 498
510 442 486
511 380 425
512 380 384
513 457 470
514 386 473
515 411 420
516 418 489
517 396 499
518 390 463
519 412 438
520 415 468
521 472 492
522 427 493
523 442 486
524 430 496
525 381 454
526 383 439
527 389 460
528 462 475
529 416 456
530 407 420
531 472 492
532 397 483
533 393 458
534 397 483
535 406 429
536 380 384
537 402 469
538 462 486
539 396 455
540 407 487
541 410 468
542 417 441
543 381 453
544 403 484
545 413 481
546 410 477
547 410 468
548 409 488
549 418 451
550 387 461
551 381 454
552 385 499
553 392 424
554 462 497
555 381 453
556 386 429
557 401 447
558 387 471
559 417 500
560 389 423
561 390 463
562 457 461
563 388 498
564 394 500
565 411 487
566 383 439
567 379 488
568 383 465
569 404 464
570 430 477
571 442 497
572 427 496
573 448 461
574 419 435
575 388 481
576 383 439
577 442 486
578 403 490
579 389 460
580 437 474
581 392 424
582 381 453
583 422 495
584 426 485
585 421 469
586 452 483
587 410 493
588 401 447
589 380 384
590 379 449
591 392 466
592 414 456
593 380 384
594 427 496
595 382 479
596 392 440
597 437 474
598 379 449
599 387 461
600 409 451
601 395 475
602 382 499
603 387 461
604 398 466
605 380 384
606 400 436
607 383 465
608 377 474
609 398 440
610 445 490
611 437 494
612 457 461
613 397 459
614 416 480
615 403 484
616 396 499
617 381 454
618 403 478
619 426 485
620 395 475
621 403 484
622 442 475
623 403 490
624 385 479
625 448 470
626 517 539
627 501 566
628 524 586
629 502 570
630 502 573
631 597 624
632 516 600
633 517 599
634 533 577
635 532 556
636 515 530
637 508 617
638 536 552
639 519 538
640 553 615
641 553 624
642 509 619
643 517 539
644 514 602
645 524 572
646 561 612
647 508 617
648 526 616
649 507 618
650 565 578
651 515 610
652 537 585
653 513 590
654 531 571
655 534 569
656 528 581
657 533 588
658 551 617
659 516 598
660 514 583
661 543 547
662 548 578
663 512 545
664 527 585
665 506 620
666 510 624
667 531 571
668 544 549
669 531 571
670 501 576
671 534 590
672 519 554
673 597 611
674 537 560
675 533 601
676 526 583
677 565 598
678 519 554
679 531 571
680 506 622
681 506 613
682 597 611
683 558 625
684 510 624
685 533 601
686 518 595
687 508 555
688 584 592
689 559 601
690 567 604
691 550 625
692 584 614
693 597 611
694 535 555
695 515 530
696 540 621
697 542 576
698 553 611
699 565 578
700 517 599
701 511 572
702 527 585
703 535 555
704 527 560
705 597 608
706 519 560
707 503 593
708 534 545
709 517 599
710 502 594
711 528 613
712 531 571
713 531 571
714 559 579
715 528 571
716 553 624
717 529 579
718 553 624
719 544 549
720 510 611
721 501 566
722 518 610
723 537 538
724 543 547
725 575 605
726 567 591
727 514 583
728 536 589
729 524 563
730 557 621
731 543 547
732 515 530
733 512 545
734 526 583
735 542 576
736 528 581
737 553 624
738 533 588
739 519 560
740 550 625
741 561 625
742 531 613
743 550 612
744 536 552
745 553 615
746 513 590
747 597 608
748 511 563
749 531 581
750 501 607
751 641 681
752 634 657
753 674 706
754 630 711
755 651 686
756 647 687
757 691 727
758 670 748
759 670 748
760 684 737
761 642 714
762 670 735
763 644 745
764 629 685
765 666 733
766 643 707
767 644 745
768 720 743
769 643 707
770 674 704
771 641 681
772 669 681
773 639 701
774 654 673
775 680 742
776 675 715
777 635 665
778 684 737
779 650 744
780 626 700
781 691 727
782 626 709
783 661 732
784 651 686
785 659 731
786 656 722
787 653 736
788 671 726
789 660 676
790 666 736
791 635 741
792 666 746
793 638 718
794 688 692
795 697 736
796 650 744
797 691 740
798 643 707
799 677 731
800 627 735
801 644 681
802 660 676
803 683 709
804 664 704
805 667 728
806 675 695
807 717 743
808 671 726
809 680 742
810 659 731
811 626 709
812 652 719
813 644 745
814 634 657
815 630 711
816 679 745
817 628 728
818 652 668
819 647 712
820 669 749
821 720 740
822 633 741
823 689 748
824 630 711
825 644 749
826 680 694
827 646 698
828 671 726
829 629 685
830 647 658
831 666 746
832 626 709
833 635 741
834 660 662
835 703 726
836 660 729
837 684 718
838 636 696
839 637 687
840 630 695
841 626 700
842 636 649
843 655 744
844 630 715
845 720 743
846 664 723
847 697 746
848 688 692
849 647 687
850 671 726
851 661 668
852 629 702
853 647 712
854 627 750
855 656 686
856 643 707
857 648 676
858 680 742
859 659 724
860 652 732
861 666 716
862 674 723
863 664 706
864 669 745
865 689 748
866 691 740
867 690 736
868 697 733
869 638 737
870 679 681
871 666 746
872 646 737
873 656 722
874 654 673
875 670 748
876 804 838
877 801 813
878 753 841
879 797 822
880 766 792
881 790 832
882 827 869
883 779 786
884 805 817
885 846 863
886 754 815
887 805 817
888 759 837
889 773 798
890 788 850
891 806 812
892 769 856
893 755 855
894 769 770
895 777 818
896 809 843
897 773 854
898 764 873
899 760 848
900 752 841
901 767 816
902 759 869
903 778 782
904 793 812
905 758 864
906 767 813
907 753 861
908 787 871
909 756 845
910 806 860
911 784 854
912 807 866
913 807 866
914 776 820
915 805 817
916 776 820
917 810 859
918 787 867
919 807 866
920 819 839
921 767 816
922 761 780
923 776 840
924 823 865
925 857 874
926 769 856
927 764 785
928 797 859
929 802 834
930 781 786
931 756 866
932 753 851
933 794 814
934 777 791
935 776 840
936 807 821
937 779 868
938 772 813
939 787 847
940 806 860
941 823 875
942 794 814
943 778 782
944 789 791
945 802 834
946 756 845
947 754 840
948 754 782
949 810 859
950 779 786
951 793 812
952 787 867
953 777 791
954 761 780
955 765 847
956 757 841
957 807 821
958 794 851
959 802 836
960 757 851
961 778 815
962 825 852
963 759 872
964 769 770
965 857 874
966 857 874
967 794 814
968 768 831
969 754 815
970 768 831
971 751 837
972 762 831
973 788 850
974 846 863
975 760 848
976 827 837
977 769 770
978 781 786
979 754 782
980 794 861
981 767 813
982 804 838
983 754 820
984 789 818
985 795 847
986 800 875
987 776 782
988 756 821
989 793 812
990 793 860
991 790 811
992 788 850
993 776 840
994 795 847
995 804 838
996 788 850
997 795 847
998 766 792
999 771 870
1000 809 843
